@
Time (us),Roll (deg),Pitch (deg),Yaw (deg),AccX (m/s/s),AccY (m/s/s),AccZ (m/s/s),Press (Pa),Temp (C),HGX (g),HGY (g),HGZ (g)
0,179.01,-0.22,-92.49,0.12,0.19,0.01,102677.30,35.75,0.04,0.52,0.88
10234,179.01,-0.22,-92.50,0.12,0.20,-0.05,102676.74,35.75,-0.19,0.57,1.00
20476,179.00,-0.22,-92.50,0.10,0.21,0.02,102677.63,35.75,-0.27,0.51,0.71
30697,179.00,-0.22,-92.52,0.12,0.19,0.01,102679.30,35.75,-0.25,0.57,0.81
40930,179.00,-0.21,-92.56,0.13,0.16,0.02,102680.04,35.75,-0.21,0.47,0.98
51162,179.00,-0.21,-92.56,0.13,0.18,0.04,102680.59,35.74,-0.20,0.60,0.27
61394,179.00,-0.21,-92.53,0.13,0.17,-0.01,102680.77,35.74,-0.35,0.55,0.80
71626,179.01,-0.20,-92.55,0.14,0.17,0.03,102679.60,35.75,-0.34,0.50,1.18
81847,179.01,-0.21,-92.49,0.11,0.17,-0.02,102677.97,35.75,-0.07,0.26,1.06
92087,179.01,-0.20,-92.56,0.12,0.17,0.04,102677.00,35.75,-0.56,0.48,1.07
102327,179.01,-0.20,-92.55,0.12,0.17,0.02,102677.33,35.75,-0.39,0.64,0.92
112573,179.01,-0.20,-92.56,0.11,0.18,0.03,102677.02,35.75,-0.27,0.56,1.00
122816,179.01,-0.20,-92.59,0.12,0.17,0.01,102677.30,35.75,-0.09,0.62,0.98
133054,179.01,-0.20,-92.57,0.11,0.19,0.02,102678.55,35.75,0.02,0.51,0.86
147591,179.01,-0.21,-92.55,0.12,0.18,0.04,102677.70,35.75,-0.15,0.69,0.68

157758,179.01,-0.21,-92.54,0.12,0.18,0.06,102677.61,35.75,0.01,0.49,0.96
167997,179.01,-0.21,-92.51,0.11,0.18,-0.05,102677.25,35.75,0.04,0.45,0.86
178246,179.01,-0.21,-92.54,0.09,0.17,0.05,102678.75,35.75,-0.30,0.48,0.91
188472,179.02,-0.21,-92.53,0.13,0.16,-0.01,102678.38,35.75,-0.02,0.57,0.81
