Time (us),Roll (deg),Pitch (deg),Yaw (deg),AccX (m/s/s),AccY (m/s/s),AccZ (m/s/s),Press (Pa),Temp (C),HGX (g),HGY (g),HGZ (g)
0,50.37,60.94,159.36,12.13,-4.80,0.03,101545.41,39.37,0.91,0.79,1.37
10292,50.35,60.94,159.33,12.14,-4.79,0.00,101544.30,39.37,0.96,0.75,1.41
20574,50.33,60.94,159.30,12.14,-4.77,-0.01,101544.50,39.37,0.70,1.05,1.69
30853,50.31,60.94,159.27,12.17,-4.78,-0.02,101546.47,39.37,1.08,0.91,1.90
41145,50.35,60.95,159.34,12.15,-4.80,-0.03,101546.62,39.37,0.88,0.81,1.51
51429,50.28,60.94,159.21,12.15,-4.78,-0.02,101545.74,39.37,1.07,0.94,0.89
61726,50.27,60.95,159.19,12.16,-4.80,-0.02,101544.02,39.37,1.11,0.93,1.04
72005,50.27,60.95,159.17,12.15,-4.78,-0.07,101545.33,39.37,1.00,0.85,1.07
82295,50.27,60.95,159.16,12.14,-4.76,-0.04,101544.21,39.37,1.02,0.95,1.23
92576,50.27,60.95,159.15,12.16,-4.77,-0.06,101542.63,39.37,1.03,0.89,1.03
102577,50.26,60.95,159.13,12.14,-4.77,-0.02,101543.49,39.37,0.95,0.92,1.22
112780,50.25,60.95,159.11,12.15,-4.76,-0.07,101544.92,39.37,0.85,0.89,1.61
123061,50.24,60.95,159.07,12.16,-4.75,-0.07,101545.98,39.37,1.07,0.72,1.46
133335,50.23,60.95,159.04,12.15,-4.74,-0.05,101546.27,39.37,1.07,0.89,1.39
143349,50.21,60.94,158.99,12.15,-4.74,-0.05,101544.96,39.37,1.04,1.00,1.41
153550,50.21,60.94,158.97,12.15,-4.74,-0.06,101545.51,39.37,0.83,1.02,1.10
163830,50.26,60.95,159.05,12.15,-4.75,-0.06,101544.38,39.37,0.95,1.02,1.04
174116,50.31,60.95,159.13,12.15,-4.77,-0.04,101544.54,39.37,0.97,0.91,1.19
184123,50.35,60.96,159.21,12.15,-4.80,-0.03,101544.16,39.37,1.01,0.96,1.49
194327,50.34,60.96,159.20,12.15,-4.77,-0.03,101541.84,39.37,1.26,0.82,1.59
204614,50.35,60.97,159.19,12.14,-4.79,-0.08,101543.67,39.37,0.92,0.87,1.29
214629,50.34,60.97,159.18,12.16,-4.76,-0.04,101544.01,39.37,1.00,0.92,1.39
224840,50.32,60.96,159.13,12.13,-4.77,-0.02,101544.55,39.37,0.83,0.85,0.94
235110,50.33,60.96,159.16,12.14,-4.76,-0.00,101545.44,39.37,1.14,0.87,1.17
245383,50.33,60.96,159.18,12.15,-4.77,0.00,101544.87,39.37,0.97,0.96,1.37
255386,50.35,60.96,159.20,12.14,-4.78,-0.01,101544.37,39.37,1.01,0.93,0.90
265590,50.37,60.97,159.26,12.27,-4.76,0.06,101544.55,39.37,0.91,0.85,1.27
275869,50.39,60.97,159.27,11.74,-4.92,-0.19,101544.17,39.37,0.30,1.38,1.35
286155,50.21,61.09,159.12,14.68,-4.91,0.70,101543.64,39.37,0.96,0.86,1.72
296168,50.65,61.62,159.59,160.51,-14.05,5.15,101546.04,39.37,22.86,-0.18,3.20
309893,51.04,61.15,160.04,160.10,-10.11,8.82,101529.09,39.37,19.54,-1.99,0.33
320104,50.72,60.71,159.85,147.71,-9.89,5.11,101534.11,39.37,15.83,-0.01,1.08
330375,51.13,60.22,160.23,158.32,-0.82,5.37,101535.84,39.37,15.79,0.19,3.19
340649,51.41,59.41,160.39,160.80,-0.43,13.73,101536.59,39.37,16.84,-0.12,2.63
350928,51.78,58.67,160.73,160.91,-1.85,11.74,101538.19,39.37,16.69,0.95,2.28
361138,51.96,57.88,160.86,161.01,-2.11,12.00,101540.44,39.37,16.90,1.40,3.47
371415,52.18,57.45,160.95,146.34,-1.59,12.57,101543.39,39.37,16.71,1.49,2.57
381705,52.53,57.42,161.14,120.11,-6.08,9.30,101546.65,39.37,13.39,1.24,2.23
391999,52.95,57.27,161.33,112.53,-4.75,8.10,101550.37,39.37,11.78,0.91,2.13
402283,53.63,57.48,161.76,109.21,-4.42,3.87,101554.71,39.37,11.23,0.49,1.79
417959,54.58,57.68,162.34,94.74,-6.41,6.32,101565.27,39.37,10.61,0.29,1.96
428241,55.32,57.77,162.87,94.54,-7.62,6.74,101569.75,39.37,10.17,0.41,2.03
438524,56.12,57.76,163.51,79.97,-7.11,5.34,101573.88,39.37,9.34,0.32,2.36
448718,56.95,57.81,164.25,68.23,-8.27,3.84,101577.47,39.37,7.38,0.49,1.96
458906,57.74,57.81,164.97,56.49,-8.41,2.90,101580.45,39.37,5.70,0.53,1.92
469189,58.51,57.91,165.68,46.87,-8.53,2.59,101584.46,39.37,4.58,0.42,1.67
479379,59.29,58.02,166.44,39.39,-8.96,1.92,101586.99,39.37,3.65,0.36,1.66
489661,59.98,58.20,167.15,33.26,-9.71,1.46,101589.12,39.37,3.00,0.46,1.62
499938,60.66,58.41,167.90,28.99,-9.74,1.13,101590.17,39.37,2.63,0.29,1.30
510219,61.15,58.66,168.55,23.64,-10.05,0.92,101591.26,39.37,2.25,0.37,1.24
521586,61.48,59.00,169.13,18.90,-10.40,0.98,101592.07,39.37,1.82,0.27,1.50
531786,61.52,59.32,169.51,14.33,-10.58,0.94,101592.91,39.37,1.30,0.25,1.55
542053,61.34,59.62,169.74,10.09,-10.61,0.57,101592.27,39.37,0.81,0.21,1.68
552325,61.05,59.75,169.95,6.28,-11.05,-0.03,101590.28,39.37,0.28,0.16,1.27
562605,61.02,59.61,170.53,1.90,-11.07,-0.17,101590.78,39.37,0.09,0.07,1.23
572891,60.99,59.42,171.19,0.77,-11.13,-0.01,101589.67,39.37,0.10,0.25,1.26
583178,60.79,59.28,171.78,1.26,-11.05,0.33,101586.74,39.37,-0.22,0.17,1.35
593460,60.55,59.14,172.40,1.10,-11.09,0.12,101584.54,39.37,-0.28,0.19,1.52
603732,60.23,59.06,173.02,1.18,-11.51,-0.05,101583.93,39.37,-0.21,0.12,1.32
614009,59.82,58.99,173.64,1.10,-11.53,-0.18,101582.98,39.37,-0.20,0.30,1.08
625387,59.34,58.84,174.40,1.08,-10.96,0.19,101575.55,39.37,-0.00,0.18,1.43
635675,58.75,58.76,175.02,1.18,-11.17,0.09,101571.52,39.37,-0.31,0.15,1.42
645960,58.08,58.75,175.65,1.28,-11.80,-0.41,101569.01,39.37,-0.30,0.27,0.95
656242,57.35,58.71,176.25,1.28,-11.43,-0.22,101566.66,39.37,-0.41,0.17,1.01
666521,56.54,58.66,176.83,1.19,-11.24,0.07,101562.29,39.36,-0.28,0.19,1.34
676809,55.67,58.61,177.43,1.25,-11.32,-0.28,101560.33,39.37,-0.37,0.39,1.21
687091,54.73,58.64,177.99,1.29,-12.08,-0.47,101557.02,39.36,-0.39,0.04,0.98
697366,53.74,58.60,178.54,1.31,-11.33,-0.29,101552.48,39.36,-0.16,0.16,1.29
707645,52.68,58.57,179.09,1.10,-11.27,-0.53,101550.66,39.37,0.01,0.19,1.35
717926,51.49,58.56,179.66,1.35,-11.55,-0.67,101549.53,39.37,-0.27,0.16,1.21
729296,50.06,58.58,-179.78,1.29,-11.57,-0.88,101546.62,39.37,-0.02,0.11,1.30
739573,48.77,58.54,-179.25,1.15,-10.92,-0.51,101543.13,39.37,-0.16,0.22,1.31
749845,47.35,58.55,-178.80,1.21,-11.42,-0.66,101542.32,39.37,-0.15,0.28,1.40
760115,45.87,58.55,-178.35,0.82,-11.61,-0.59,101536.88,39.37,-0.19,0.37,1.33
770394,44.32,58.54,-177.86,0.75,-11.51,-0.51,101534.04,39.37,-0.23,0.39,1.20
780659,42.64,58.57,-177.49,0.82,-11.50,-0.91,101529.84,39.36,-0.01,0.04,1.41
790923,40.89,58.63,-177.12,0.75,-11.84,-1.01,101528.27,39.36,0.04,0.32,1.18
801199,39.11,58.63,-176.76,0.59,-11.33,-0.90,101526.81,39.36,-0.34,0.26,1.37
811475,37.26,58.66,-176.43,0.58,-11.42,-1.34,101525.71,39.36,-0.19,0.13,1.76
821750,35.25,58.69,-176.18,0.43,-11.70,-1.39,101522.33,39.36,-0.31,0.07,1.80
833101,32.92,58.74,-175.95,0.44,-11.51,-1.69,101520.30,39.36,-0.02,0.17,1.61
843371,30.71,58.76,-175.78,0.27,-11.53,-1.49,101517.48,39.36,-0.24,-0.55,1.03
853651,28.38,58.81,-175.67,-0.02,-11.59,-2.18,101512.55,39.36,-0.13,-0.07,1.30
863917,25.99,58.85,-175.60,0.05,-11.51,-2.28,101508.87,39.36,-0.30,-0.05,1.59
874191,23.54,58.87,-175.53,-0.24,-11.56,-2.23,101505.80,39.36,-0.02,0.11,1.41
884442,20.95,58.92,-175.58,-0.47,-11.84,-2.32,101502.52,39.36,0.03,0.26,1.18
894692,18.39,58.93,-175.60,-0.74,-11.92,-2.10,101502.10,39.36,0.05,0.29,1.25
904941,15.71,58.96,-175.75,-0.91,-11.86,-2.37,101497.95,39.36,-0.15,0.02,1.50
915192,13.00,58.98,-175.88,-1.02,-11.66,-2.48,101494.30,39.36,0.01,0.04,1.51
925414,10.17,59.04,-176.09,-1.01,-11.73,-2.84,101493.09,39.36,-0.39,0.01,1.36
936763,6.76,59.09,-176.59,-1.45,-12.09,-2.69,101488.44,39.36,-0.27,0.16,1.48
947015,3.63,59.14,-177.10,-1.49,-11.86,-2.66,101486.39,39.36,-0.21,0.23,1.55
957257,0.46,59.16,-177.61,-1.96,-11.48,-2.96,101484.60,39.36,-0.28,0.16,1.29
967509,-2.91,59.19,-178.30,-2.29,-11.67,-3.11,101483.02,39.36,-0.37,0.23,1.20
977757,-6.24,59.18,-178.99,-2.65,-11.29,-3.25,101481.05,39.36,-0.19,0.16,0.90
987994,-9.62,59.16,-179.71,-3.06,-11.58,-3.09,101478.02,39.36,0.00,-0.01,1.43
998242,-13.27,59.15,179.32,-3.10,-12.31,-3.04,101477.30,39.36,-0.27,-0.04,1.15
1008488,-16.75,59.08,178.47,-3.54,-11.56,-2.60,101474.71,39.36,-0.02,-0.05,1.17
1018740,-20.30,58.99,177.55,-4.01,-11.36,-2.80,101471.20,39.36,0.04,-0.05,1.05
1028985,-23.91,58.90,176.66,-4.16,-11.41,-2.76,101469.32,39.36,0.05,0.11,1.07
1040372,-27.98,58.75,175.62,-4.53,-10.90,-2.67,101466.95,39.36,0.13,0.14,1.00
1050653,-31.51,58.61,174.59,-4.64,-11.35,-2.88,101465.89,39.36,-0.09,-0.01,1.25
1060660,-35.79,58.39,173.26,-4.99,-11.56,-2.70,101463.81,39.36,-0.17,0.15,1.42
1070858,-39.31,58.17,172.14,-5.12,-11.33,-2.46,101460.99,39.36,-0.19,0.15,0.91
